Date,ORDCI Development  Activity Index ,ORDCI Development Activity Index (7DMA),Pulse Scores ,Core Index Price
6/4/2019,248.034188,205.4334554,78.44490882,924.52
6/5/2019,287.008547,203.0769231,76.80779224,895.57
6/6/2019,298.8034188,202.2588523,75.69926762,897.66
6/7/2019,208.5470085,201.4896215,73.12331874,927.49
6/8/2019,45.12820513,196.7765568,70.47145605,926.37
6/9/2019,33.16239316,195.3968254,69.553642,908.68
6/10/2019,205.2991453,196.3247863,68.39651623,928.09
6/11/2019,284.4444444,195.3235653,67.0261163,912.33
6/12/2019,274.1880342,192.3076923,67.42203658,941.56
6/13/2019,258.4615385,189.1941392,67.8340115,959.41
6/14/2019,236.2393162,192.5641026,68.68354511,979.11
6/15/2019,76.75213675,194.004884,71.48541475,1013.32
6/16/2019,39.48717949,196.6910867,74.22644475,1069.33
6/17/2019,301.025641,197.3992674,75.25950022,1084.12
6/18/2019,276.9230769,199.7557998,75.9279349,1051.23
6/19/2019,282.3931624,201.8192918,76.05495675,1045.84
6/20/2019,234.7008547,201.4896215,76.22442166,1073.62
6/21/2019,248.3760684,196.9108669,77.63123455,1126.34
6/22/2019,54.18803419,199.7557998,79.62592348,1227.4
6/23/2019,26.66666667,200.4029304,78.80984848,1227.58
6/24/2019,238.974359,199.9389499,77.711771,1245.49
6/25/2019,329.0598291,202.3443223,78.15443428,1273.61
6/26/2019,258.974359,205.5311355,79.33479851,1428.98
6/27/2019,262.0512821,204.4444444,80.07187268,1325.44
6/28/2019,257.4358974,204.7008547,79.09738807,1301.72
6/29/2019,70.5982906,206.2148962,77.2508581,1324.16
6/30/2019,67.86324786,205.7753358,77.36895946,1250.31
7/1/2019,276.4102564,207.8021978,77.61946348,1149.97
7/2/2019,282.5641026,206.043956,75.82542258,1184.02
7/3/2019,307.8632479,206.4468864,73.64175474,1268.1
7/4/2019,318.4615385,208.2661783,71.04591585,1312.72
7/5/2019,252.1367521,214.2490842,69.64156847,1262.38
7/6/2019,55.72649573,214.5177045,67.46908714,1272.13
7/7/2019,36.75213675,214.6275946,64.96797903,1261.77
7/8/2019,327.5213675,215.3479853,64.71797005,1320.78
7/9/2019,293.3333333,221.6727717,65.75487631,1358.77
7/10/2019,296.2393162,219.1208791,67.0018482,1367.29
7/11/2019,308.7179487,221.7826618,68.4491826,1276.77
7/12/2019,249.2307692,225.1159951,69.15483993,1267
7/13/2019,59.48717949,224.5299145,69.42506402,1234.81
7/14/2019,34.52991453,223.7362637,70.85672575,1149.02
7/15/2019,295.042735,221.3553114,71.51904521,1138.96
7/16/2019,262.7350427,222.6862027,70.81062998,1117.15
7/17/2019,272.4786325,221.2698413,70.17607716,1049.52
7/18/2019,251.2820513,218.7423687,69.87386325,1113.13
7/19/2019,254.5299145,213.9438339,68.92724662,1111.03
7/20/2019,45.12820513,214.1147741,67.81950593,1145.28
7/21/2019,59.82905983,213.3577534,65.16336239,1122.22
7/22/2019,289.5726496,215.006105,62.85082507,1098.71
7/23/2019,304.1025641,212.2954823,61.09076297,1074.83
7/24/2019,315.5555556,213.0647131,58.08432166,1066.91
7/25/2019,313.1623932,214.4444444,55.4503695,1081.62
7/26/2019,221.5384615,214.7619048,55.36727777,1061.75
7/27/2019,49.23076923,212.7838828,54.75665118,1021.25
7/28/2019,26.32478632,212.0512821,53.90332965,1028.92
7/29/2019,311.2820513,211.4652015,54.09258201,1031.3
7/30/2019,278.974359,212.6251526,53.85284161,1037.64
7/31/2019,300.3418803,213.7851038,54.38461296,1080.96
8/1/2019,271.4529915,215.7753358,54.50495052,1082.18
8/2/2019,237.9487179,217.2161172,54.00839331,1140.76
8/3/2019,35.8974359,216.031746,53.96756632,1160.59
8/4/2019,36.41025641,215.3724054,54.65997128,1158.74
8/5/2019,267.6923077,213.6996337,55.37663912,1256.41
8/6/2019,278.8034188,212.1367521,56.97906777,1248.69
8/7/2019,372.991453,210.3296703,57.64689712,1278.53
8/8/2019,274.017094,214.4322344,57.57919649,1239.1
8/9/2019,278.2905983,211.6361416,57.38616618,1236.21
8/10/2019,60,215.6898657,57.25547174,1197.06
8/11/2019,34.52991453,216.4590965,57.20900867,1202.77
8/12/2019,285.4700855,217.045177,54.47487032,1202.63
8/13/2019,297.0940171,215.2014652,52.820051,1161.86
8/14/2019,288.5470085,216.4957265,52.40278106,1117.7
8/15/2019,273.3333333,215.6532357,53.42127757,1059.09
8/16/2019,289.5726496,215.7875458,53.43157247,1065.17
8/17/2019,53.67521368,219.4749695,54.08237757,1087
8/18/2019,78.63247863,220.7448107,54.23130728,1100.24
8/19/2019,273.1623932,223.7606838,54.99551192,1136.98
8/20/2019,264.7863248,224.1514042,55.30749059,1120.82
8/21/2019,201.7094017,223.1501832,55.91544115,1056.29
8/22/2019,258.6324786,210.9157509,54.82001641,1068.92
8/23/2019,198.1196581,209.8168498,54.72250102,1102.37
8/24/2019,83.41880342,204.0903541,53.56225097,1058.31
8/25/2019,23.41880342,205.7631258,53.24996685,1064.46
8/26/2019,238.4615385,204.969475,53.67176573,1089.18
8/27/2019,276.9230769,201.6117216,52.62613251,1074.25
8/28/2019,241.8803419,200.1709402,51.12517033,1078.92
8/29/2019,259.4871795,196.8376068,51.8990645,986.11
8/30/2019,202.7350427,195.8485958,51.71773401,1006.99
8/31/2019,30.08547009,189.6459096,52.77127825,1006.93
9/1/2019,25.2991453,187.960928,52.93384241,1009.29
9/2/2019,208.7179487,184.1514042,52.45917145,1039.83
9/3/2019,270.7692308,179.5482295,54.30774847,1110.76
9/4/2019,298.2905983,179.97558,54.29739279,1086.6
9/5/2019,266.1538462,186.8742369,54.07402548,1097.15
9/6/2019,202.5641026,187.4114774,55.33928743,1128.56
9/7/2019,55.55555556,187.7289377,55.36479524,1087.37
9/8/2019,45.47008547,185.7387057,55.73899637,1095.39
9/9/2019,282.3931624,187.3137973,55.57317597,1087.16
9/10/2019,304.957265,190.4517705,53.91595643,1073.95
9/11/2019,285.4700855,192.4542125,53.91272435,1054.08
9/12/2019,28.03418803,195.5677656,53.82483985,1082.57
9/13/2019,220.5128205,179.035409,51.12729873,1078.11
9/14/2019,35.21367521,180.3052503,50.59034518,1089.75
9/15/2019,32.47863248,180.6715507,49.73545713,1083.75
9/16/2019,297.6068376,181.1843712,50.28392124,1075.62
9/17/2019,283.7606838,187.5335775,50.79797827,1088.45
9/18/2019,252.4786325,188.4615385,51.72114701,1090.3
9/19/2019,305.8119658,185.1892552,51.45010208,1060.9
9/20/2019,220.3418803,188.021978,53.79143728,1093.37
9/21/2019,53.67521368,189.2918193,53.80535956,1076.15
9/22/2019,38.29059829,189.1575092,54.59072559,1072.6
9/23/2019,284.4444444,188.6446886,53.34225588,1062.9
9/24/2019,244.7863248,188.7912088,54.95149147,1012.55
9/25/2019,265.6410256,184.4932845,55.33607305,889.12
9/26/2019,235.3846154,183.0769231,55.02677563,869.84
9/27/2019,230.7692308,197.8876679,53.54968621,849.37
9/28/2019,74.35897436,198.6202686,52.86207984,864.09
9/29/2019,86.66666667,201.4163614,52.19736763,852.13
9/30/2019,328.2051282,205.2869353,53.0048432,880.02
10/1/2019,338.2905983,207.4725275,50.57920025,892.61
10/2/2019,315.3846154,211.3675214,48.3731679,882.25
10/3/2019,225.2991453,215.8608059,46.84899229,867.11
10/4/2019,243.9316239,210.1098901,46.00693766,877.26
10/5/2019,46.66666667,211.7948718,45.95167019,862.11
10/6/2019,43.93162393,211.2942613,45.72329798,854.38
10/7/2019,215.042735,211.6971917,44.5273197,875.85
10/8/2019,199.4871795,206.7399267,43.86621494,879.7
10/9/2019,194.017094,203.5042735,45.14389397,910.18
10/10/2019,184.2735043,198.3882784,46.40791349,914.86
10/11/2019,197.2649573,194.7374847,46.69597779,892.16
10/12/2019,59.48717949,192.3443223,46.25657694,898.93
10/13/2019,54.35897436,191.2820513,45.9278871,901.85
10/14/2019,264.6153846,188.974359,47.1877696,886.57
10/15/2019,316.7521368,184.4322344,47.27681265,885.86
10/16/2019,283.9316239,182.8937729,46.08213914,852.86
10/17/2019,253.5042735,180.6471306,45.04629139,864.43
10/18/2019,219.4871795,182.6617827,45.0994971,847.04
10/19/2019,73.5042735,180.9157509,45.92015688,858.4
10/20/2019,47.86324786,182.8327228,45.70063325,857.74
10/21/2019,313.5042735,183.1135531,44.84715771,883.98
10/22/2019,321.025641,190.1465201,44.35271389,876.58
10/23/2019,338.4615385,198.8278388,44.96802396,798.37
10/24/2019,271.7948718,209.1452991,45.8489633,801.64
10/25/2019,267.008547,215.3968254,46.51369999,823.03
10/26/2019,61.36752137,220.3785104,47.76787979,968.57
10/27/2019,78.8034188,220.5128205,48.43500363,1000.48
10/28/2019,342.3931624,222.2588523,49.37387563,994.87
10/29/2019,265.4700855,227.8144078,49.85361292,992.92
10/30/2019,257.2649573,224.1514042,49.06758649,968.99
10/31/2019,355.042735,222.2466422,48.38251384,979.58
11/1/2019,231.7948718,229.4993895,47.79522601,969.63
11/2/2019,88.54700855,230.3785104,45.76348432,981.79
11/3/2019,39.48717949,231.4529915,45.33267814,975.76
11/4/2019,285.982906,230.8547009,44.73714933,982.5
11/5/2019,314.8717949,228.8888889,46.4587589,990.15
11/6/2019,345.6410256,228.4493284,46.42594049,999.83
11/7/2019,286.8376068,228.962149,47.06869763,979.09
11/8/2019,304.2735043,230.03663,47.208358,941.77
11/9/2019,157.2649573,232.6984127,46.93335125,941.68
11/10/2019,155.3846154,239.5482295,46.70096829,945
11/11/2019,368.5470085,245.018315,45.31990275,935.05
11/12/2019,389.7435897,246.8864469,43.06164004,933.27
11/13/2019,340.6837607,255.7631258,42.93584157,939.36
11/14/2019,354.8717949,261.7216117,41.5862411,934.21
11/15/2019,235.7264957,261.7094017,41.87283178,907.59
11/16/2019,62.22222222,261.990232,41.40297404,910.86
11/17/2019,41.02564103,260.1098901,40.45380339,916.39
11/18/2019,293.1623932,260.2197802,40.80090822,902.46
11/19/2019,363.0769231,260.7326007,40.79267946,868.12
11/20/2019,376.7521368,264.1758242,40.32136068,871.78
11/21/2019,349.5726496,266.3980464,42.02661129,814.91
11/22/2019,332.8205128,270.8791209,43.68261784,759.69
11/23/2019,55.04273504,272.9181929,46.13381541,779.59
11/24/2019,29.74358974,265.6166056,47.60807073,751.31
11/25/2019,320.5128205,256.6422466,49.61801522,773.83
11/26/2019,375.5555556,253.2112332,50.16907237,756.41
11/27/2019,313.3333333,252.1978022,51.12887759,781.35
11/28/2019,284.7863248,250.2442002,49.70400232,809.08
11/29/2019,232.3076923,245.2380952,46.73538568,829.58
11/30/2019,58.46153846,244.993895,45.42642669,801.43
12/1/2019,58.97435897,244.7252747,45.53668557,777.38
12/2/2019,340.3418803,246.007326,44.89717816,772.33
12/3/2019,366.8376068,249.3772894,45.28179768,779.69
12/4/2019,376.0683761,249.6459096,46.29698778,792.54
12/5/2019,350.2564103,249.5970696,46.85977743,778
12/6/2019,290.0854701,249.6459096,47.98658649,781.69
12/7/2019,49.05982906,246.5934066,47.26337094,795.75
12/8/2019,64.1025641,246.1660562,46.87179125,800.26
12/9/2019,390.9401709,248.6202686,46.41459008,786.68
12/10/2019,339.8290598,253.6507937,46.67967523,767.18
12/11/2019,361.025641,251.0989011,44.77202328,760.37
12/12/2019,389.7435897,254.5054945,45.49496629,762.13
