,asset,time,HashRate,ReferenceRateUSD
38,btc,2015-02-08 00:00:00+00:00,270822.511039753,228.647127410871
39,btc,2015-02-09 00:00:00+00:00,340604.722619783,224.035988895383
40,btc,2015-02-10 00:00:00+00:00,318224.262813905,220.768493863238
41,btc,2015-02-11 00:00:00+00:00,349162.732809701,220.888154295734
42,btc,2015-02-12 00:00:00+00:00,262976.994964268,219.495859731151
43,btc,2015-02-13 00:00:00+00:00,322644.044241876,222.583227936879
44,btc,2015-02-14 00:00:00+00:00,353582.514237672,236.555363822326
45,btc,2015-02-15 00:00:00+00:00,309384.699957963,257.627695791935
46,btc,2015-02-16 00:00:00+00:00,346952.842095716,234.445803039158
47,btc,2015-02-17 00:00:00+00:00,329273.716383832,235.086126826417
48,btc,2015-02-18 00:00:00+00:00,369051.74923557,243.905794272355
49,btc,2015-02-19 00:00:00+00:00,366841.858521585,235.995232320281
50,btc,2015-02-20 00:00:00+00:00,349162.732809701,241.872253945061
51,btc,2015-02-21 00:00:00+00:00,313804.481385934,245.530775277615
52,btc,2015-02-22 00:00:00+00:00,334358.311133104,245.596002630041
53,btc,2015-02-23 00:00:00+00:00,329538.396656716,236.690668322618
54,btc,2015-02-24 00:00:00+00:00,299369.388512087,239.066017825833
55,btc,2015-02-25 00:00:00+00:00,368990.176538154,239.869262127411
56,btc,2015-02-26 00:00:00+00:00,348103.940130334,238.236111046172
57,btc,2015-02-27 00:00:00+00:00,352745.325998738,237.044402396259
58,btc,2015-02-28 00:00:00+00:00,329538.396656716,255.116774400935
59,btc,2015-03-01 00:00:00+00:00,324897.010788311,254.948448568089
60,btc,2015-03-02 00:00:00+00:00,366669.483603951,260.651330800701
61,btc,2015-03-03 00:00:00+00:00,366669.483603951,276.322613676213
62,btc,2015-03-04 00:00:00+00:00,324897.010788311,282.705900935126
63,btc,2015-03-05 00:00:00+00:00,306331.467314693,273.447536528346
64,btc,2015-03-06 00:00:00+00:00,343462.554261929,276.268809175921
65,btc,2015-03-07 00:00:00+00:00,324897.010788311,273.31811484512
66,btc,2015-03-08 00:00:00+00:00,363358.067705216,276.403357393337
67,btc,2015-03-09 00:00:00+00:00,339499.662403796,275.338033898305
68,btc,2015-03-10 00:00:00+00:00,358360.754759563,290.130059029807
69,btc,2015-03-11 00:00:00+00:00,363076.027848504,292.320383109293
70,btc,2015-03-12 00:00:00+00:00,308850.387325676,296.693329339568
71,btc,2015-03-13 00:00:00+00:00,344214.935492738,295.800344827586
72,btc,2015-03-14 00:00:00+00:00,308850.387325676,285.911026300409
73,btc,2015-03-15 00:00:00+00:00,337142.025859325,283.608306253653
74,btc,2015-03-16 00:00:00+00:00,327711.479681442,287.270142022209
75,btc,2015-03-17 00:00:00+00:00,301777.477692263,291.392118059614
76,btc,2015-03-18 00:00:00+00:00,360718.391304033,285.248396551724
77,btc,2015-03-19 00:00:00+00:00,322996.2065925,257.286160140269
78,btc,2015-03-20 00:00:00+00:00,320638.57004803,262.092947983635
79,btc,2015-03-21 00:00:00+00:00,356003.118215092,262.966492109877
80,btc,2015-03-22 00:00:00+00:00,334537.327428476,261.18429748685
81,btc,2015-03-23 00:00:00+00:00,336739.588444724,268.899415838691
82,btc,2015-03-24 00:00:00+00:00,401765.164144395,266.777992986558
83,btc,2015-03-25 00:00:00+00:00,376219.402262381,246.835082992402
84,btc,2015-03-26 00:00:00+00:00,343706.614412546,246.719136762127
85,btc,2015-03-27 00:00:00+00:00,397120.480165847,249.532993571011
86,btc,2015-03-28 00:00:00+00:00,343706.614412546,247.378898305085
87,btc,2015-03-29 00:00:00+00:00,355318.324358916,253.23161396844
88,btc,2015-03-30 00:00:00+00:00,329772.562476902,242.967614260666
89,btc,2015-03-31 00:00:00+00:00,348351.298391094,248.336934541204
90,btc,2015-04-01 00:00:00+00:00,306549.142584163,244.712485680888
91,btc,2015-04-02 00:00:00+00:00,385508.770219477,247.185819403857
92,btc,2015-04-03 00:00:00+00:00,339061.930433998,253.630070426651
93,btc,2015-04-04 00:00:00+00:00,355318.324358916,254.83316364699
94,btc,2015-04-05 00:00:00+00:00,361069.996691013,253.945848626534
95,btc,2015-04-06 00:00:00+00:00,309707.170078885,261.112136177674
96,btc,2015-04-07 00:00:00+00:00,373614.998825321,256.367386908241
97,btc,2015-04-08 00:00:00+00:00,307249.17666556,254.831898012858
98,btc,2015-04-09 00:00:00+00:00,326913.123972156,245.825210403273
99,btc,2015-04-10 00:00:00+00:00,373614.998825321,243.860636177674
100,btc,2015-04-11 00:00:00+00:00,344119.077865427,235.871900642899
101,btc,2015-04-12 00:00:00+00:00,314623.156905534,237.40906779661
102,btc,2015-04-13 00:00:00+00:00,383446.972478619,237.141042372881
103,btc,2015-04-14 00:00:00+00:00,366241.018585348,225.505635885447
