Date,SPX Index,LUATTRUU Index,BBDXY Index,BCOM Index,COIN50I Index,XBTUSD BGN Curncy,XAU Curncy,FEDL01 Index
2/2/2021,3826.31,2531.47,1132.67,81.2652,155.04,35687.9,1838.03,0.08
2/3/2021,3830.17,2525.55,1132.98,81.8088,168.26,37294.95,1834.04,0.08
2/4/2021,3871.74,2524.24,1137.83,81.9778,167.32,37681.13,1794.03,0.08
2/5/2021,3886.83,2518.95,1131.13,82.4711,180.23,37858.84,1814.11,0.08
2/6/2021,3886.83,2518.95,1131.13,82.4711,180.23,37858.84,1814.11,0.08
2/7/2021,3886.83,2518.95,1131.13,82.4711,180.23,37858.84,1814.11,0.08
2/8/2021,3915.59,2520.9,1129.95,83.5421,195.64,44691.74,1830.81,0.07
2/9/2021,3911.23,2521.58,1124.87,83.7736,201.59,47335.77,1838.32,0.08
2/10/2021,3909.88,2526.54,1124.3,83.5314,197.77,45039.51,1842.89,0.08
2/11/2021,3916.38,2523.55,1123.16,83.4745,213.33,46931.97,1825.51,0.08
2/12/2021,3934.83,2515.17,1123.75,84.0621,214.06,47947.17,1824.23,0.08
2/13/2021,3934.83,2515.17,1123.75,84.0621,214.06,47947.17,1824.23,0.08
2/14/2021,3934.83,2515.17,1123.75,84.0621,214.06,47947.17,1824.23,0.08
2/15/2021,3934.83,2515.17,1122.38,84.0621,218.05,48203.45,1818.86,0.08
2/16/2021,3932.59,2503.25,1126.01,85.0496,217.53,48585.51,1794.47,0.08
2/17/2021,3931.33,2506.54,1129.45,85.2003,223.63,52400.42,1776.13,0.08
2/18/2021,3913.97,2505.19,1126.68,85.2395,229.32,52037.53,1775.67,0.07
2/19/2021,3906.71,2496.38,1124.92,85.3002,236.07,55629.08,1784.25,0.07
2/20/2021,3906.71,2496.38,1124.92,85.3002,236.07,55629.08,1784.25,0.07
2/21/2021,3906.71,2496.38,1124.92,85.3002,236.07,55629.08,1784.25,0.07
2/22/2021,3876.5,2491.88,1123.74,86.6999,224.85,54938.64,1809.67,0.07
2/23/2021,3881.37,2491.38,1122.74,86.6185,205.31,47962.92,1805.73,0.07
2/24/2021,3925.43,2486.97,1120.74,87.5827,214.3,48758.53,1805.06,0.07
2/25/2021,3829.34,2465.7,1127.87,87.1179,216.56,48083.51,1770.56,0.07
2/26/2021,3811.15,2488.92,1135.36,85.2778,203.93,45672.06,1734.04,0.07
2/27/2021,3811.15,2488.92,1135.36,85.2778,203.93,45672.06,1734.04,0.07
2/28/2021,3811.15,2488.92,1135.36,85.2778,203.93,45672.06,1734.04,0.07
3/1/2021,3901.82,2482.33,1133.86,84.7821,210.77,48856.4,1725.04,0.07
3/2/2021,3870.29,2484.51,1130.88,85.2537,210.34,47451.1,1738.36,0.07
3/3/2021,3819.72,2475.24,1134.65,84.8705,217.43,50952.74,1711.23,0.07
3/4/2021,3768.47,2468.8,1142.07,84.7819,212.65,47918.88,1697.52,0.07
3/5/2021,3841.94,2468.2,1146.06,85.8592,203.61,49053.13,1700.64,0.07
3/6/2021,3841.94,2468.2,1146.06,85.8592,203.61,49053.13,1700.64,0.07
3/7/2021,3841.94,2468.2,1146.06,85.8592,203.61,49053.13,1700.64,0.07
3/8/2021,3821.35,2461.1,1152.24,85.3688,222.93,51878.94,1683.54,0.07
3/9/2021,3875.44,2470,1145.39,85.4207,235.17,54320.06,1716.1,0.07
3/10/2021,3898.81,2472.85,1142.06,85.3416,241.17,56931.78,1726.71,0.07
3/11/2021,3939.34,2470.33,1135.94,86.2749,238.02,57624.02,1722.6,0.07
3/12/2021,3943.34,2455.58,1139.12,85.9584,239.12,56965.96,1727.11,0.07
3/13/2021,3943.34,2455.58,1139.12,85.9584,239.12,56965.96,1727.11,0.07
3/14/2021,3943.34,2455.58,1139.12,85.9584,239.12,56965.96,1727.11,0.07
3/15/2021,3968.94,2459.04,1139.82,85.9626,237.04,56414.61,1731.67,0.07
3/16/2021,3962.71,2457.88,1139.57,85.9592,238.39,56388.15,1731.4,0.07
3/17/2021,3974.12,2455.26,1134.17,85.6924,236.64,57751.66,1745.33,0.07
3/18/2021,3915.46,2446.54,1139.35,83.6598,252.58,57501.51,1736.42,0.07
3/19/2021,3913.1,2448.3,1140.26,84.5202,250.26,58410.01,1745.23,0.07
3/20/2021,3913.1,2448.3,1140.26,84.5202,250.26,58410.01,1745.23,0.07
