,asset,time,HashRate,ReferenceRateUSD
31,btc,2014-02-01 00:00:00+00:00,20611.7293698701,803.237598784921
32,btc,2014-02-02 00:00:00+00:00,20284.5590624119,813.219549216833
33,btc,2014-02-03 00:00:00+00:00,19739.2752166481,814.490870426651
34,btc,2014-02-04 00:00:00+00:00,18757.7642942733,806.997428372531
35,btc,2014-02-05 00:00:00+00:00,20723.2339086288,800.078231893629
36,btc,2014-02-06 00:00:00+00:00,23716.5514349681,784.473692777791
37,btc,2014-02-07 00:00:00+00:00,20198.1619363739,763.569382232612
38,btc,2014-02-08 00:00:00+00:00,23716.5514349681,711.571273419053
39,btc,2014-02-09 00:00:00+00:00,17982.8796594812,677.682300941379
40,btc,2014-02-10 00:00:00+00:00,20328.472658544,687.406054576271
41,btc,2014-02-11 00:00:00+00:00,21370.9584359053,685.457498836938
42,btc,2014-02-12 00:00:00+00:00,23195.3085462874,671.89969169024
43,btc,2014-02-13 00:00:00+00:00,23195.3085462874,653.765780911747
44,btc,2014-02-14 00:00:00+00:00,24889.3479344994,612.918414962011
45,btc,2014-02-15 00:00:00+00:00,24368.1050458188,668.788602659264
46,btc,2014-02-16 00:00:00+00:00,25486.3744356631,654.377060198714
47,btc,2014-02-17 00:00:00+00:00,24113.6485813296,623.250321948568
48,btc,2014-02-18 00:00:00+00:00,25358.2239919788,631.334596306254
49,btc,2014-02-19 00:00:00+00:00,31114.3852662318,627.271761415484
50,btc,2014-02-20 00:00:00+00:00,27536.2309606151,623.54013694623
51,btc,2014-02-21 00:00:00+00:00,23646.9328023361,563.768561098773
52,btc,2014-02-22 00:00:00+00:00,28002.9467396085,580.324315973115
53,btc,2014-02-23 00:00:00+00:00,26136.0836236346,607.12463333723
54,btc,2014-02-24 00:00:00+00:00,29714.2379292513,610.082323746347
55,btc,2014-02-25 00:00:00+00:00,25047.0801393165,542.266650753945
56,btc,2014-02-26 00:00:00+00:00,28625.2344449332,533.707644436002
57,btc,2014-02-27 00:00:00+00:00,29247.5221502578,587.57858829924
58,btc,2014-02-28 00:00:00+00:00,31125.9783969294,585.393925650058
59,btc,2014-03-01 00:00:00+00:00,27314.0148774629,551.29477030976
60,btc,2014-03-02 00:00:00+00:00,26555.2922419778,567.534235441262
61,btc,2014-03-03 00:00:00+00:00,28072.737512948,558.527707156633
62,btc,2014-03-04 00:00:00+00:00,28262.4181718192,676.505732781999
63,btc,2014-03-05 00:00:00+00:00,29590.1827839181,674.51139943308
